06:23:15.526 total=7.07ms respawn=1.22ms interaction=3.78ms combat=1.98ms entities=15 projectiles=0
06:23:17.543 total=0.26ms respawn=0.05ms interaction=0.20ms combat=0.01ms entities=15 projectiles=0
06:23:19.575 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:21.591 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:23:23.723 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:25.830 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:23:27.883 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:23:29.915 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:32.042 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:34.099 total=0.36ms respawn=0.04ms interaction=0.16ms combat=0.16ms entities=15 projectiles=1
06:23:36.136 total=0.36ms respawn=0.04ms interaction=0.16ms combat=0.16ms entities=15 projectiles=1
06:23:38.142 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:40.181 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:42.245 total=0.22ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:23:44.261 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:46.307 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:48.314 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:50.334 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:52.378 total=0.22ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:54.403 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:56.478 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:23:58.493 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:24:00.526 total=0.36ms respawn=0.04ms interaction=0.16ms combat=0.16ms entities=15 projectiles=1
06:24:02.583 total=0.35ms respawn=0.04ms interaction=0.16ms combat=0.15ms entities=15 projectiles=1
06:24:04.654 total=0.23ms respawn=0.04ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
06:24:06.684 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:24:08.713 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:24:10.745 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:24:12.752 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:24:14.783 total=0.80ms respawn=0.04ms interaction=0.16ms combat=0.60ms entities=15 projectiles=4
06:24:16.832 total=0.70ms respawn=0.04ms interaction=0.16ms combat=0.50ms entities=15 projectiles=4
06:24:18.907 total=0.63ms respawn=0.04ms interaction=0.16ms combat=0.42ms entities=15 projectiles=4
06:24:20.949 total=1.05ms respawn=0.04ms interaction=0.16ms combat=0.84ms entities=15 projectiles=7
06:24:22.993 total=0.85ms respawn=0.04ms interaction=0.16ms combat=0.65ms entities=15 projectiles=6
06:24:25.006 total=0.91ms respawn=0.04ms interaction=0.16ms combat=0.71ms entities=15 projectiles=7
06:24:27.030 total=0.60ms respawn=0.04ms interaction=0.16ms combat=0.40ms entities=15 projectiles=4
06:24:29.075 total=0.21ms respawn=0.04ms interaction=0.16ms combat=0.01ms entities=15 projectiles=0
06:24:31.125 total=0.22ms respawn=0.05ms interaction=0.17ms combat=0.01ms entities=15 projectiles=0
