06:23:14.956 frame=331.00ms map=33.18ms/175458v/1draw facility=21.81ms/30012v/1draw unit=25.34ms/32616v/1draw projectile=0.53ms/0v/0draw flush=1.62ms overlay=43.81ms swap=0.17ms entities=15 projectiles=0
06:23:17.142 frame=11.07ms map=0.06ms/175458v/1draw facility=1.46ms/30012v/1draw unit=2.81ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.04ms overlay=6.49ms swap=0.04ms entities=15 projectiles=0
06:23:19.144 frame=4.30ms map=0.05ms/175458v/1draw facility=1.45ms/30012v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=0.00ms swap=0.02ms entities=15 projectiles=0
06:23:21.163 frame=11.16ms map=0.07ms/175458v/1draw facility=1.64ms/30012v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.04ms overlay=6.54ms swap=0.05ms entities=15 projectiles=0
06:23:23.326 frame=10.76ms map=0.06ms/175458v/1draw facility=1.46ms/30012v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.30ms swap=0.06ms entities=15 projectiles=0
06:23:25.399 frame=10.53ms map=0.06ms/175458v/1draw facility=1.46ms/30012v/1draw unit=2.63ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.13ms swap=0.05ms entities=15 projectiles=0
06:23:27.496 frame=10.93ms map=0.07ms/175458v/1draw facility=1.64ms/30012v/1draw unit=2.65ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.20ms swap=0.04ms entities=15 projectiles=0
06:23:29.523 frame=11.16ms map=0.06ms/175458v/1draw facility=1.68ms/30012v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.41ms swap=0.05ms entities=15 projectiles=0
06:23:31.694 frame=10.76ms map=0.06ms/175458v/1draw facility=1.46ms/30012v/1draw unit=2.65ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.33ms swap=0.05ms entities=15 projectiles=0
06:23:33.883 frame=10.86ms map=0.06ms/175458v/1draw facility=1.76ms/30012v/1draw unit=2.57ms/32616v/1draw projectile=0.01ms/168v/1draw flush=0.04ms overlay=6.21ms swap=0.04ms entities=15 projectiles=1
06:23:35.893 frame=10.75ms map=0.06ms/175458v/1draw facility=1.66ms/30012v/1draw unit=2.56ms/32616v/1draw projectile=0.01ms/168v/1draw flush=0.04ms overlay=6.21ms swap=0.04ms entities=15 projectiles=1
06:23:37.904 frame=11.26ms map=0.07ms/175458v/1draw facility=1.58ms/30012v/1draw unit=2.55ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.78ms swap=0.06ms entities=15 projectiles=0
06:23:40.027 frame=15.63ms map=0.07ms/175458v/1draw facility=2.11ms/30012v/1draw unit=3.75ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.10ms overlay=9.34ms swap=0.04ms entities=15 projectiles=0
06:23:42.094 frame=11.29ms map=0.07ms/175458v/1draw facility=1.56ms/30012v/1draw unit=2.60ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.80ms swap=0.04ms entities=15 projectiles=0
06:23:44.112 frame=11.61ms map=0.06ms/175458v/1draw facility=1.44ms/30012v/1draw unit=2.63ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=7.18ms swap=0.05ms entities=15 projectiles=0
06:23:46.232 frame=11.63ms map=0.09ms/175458v/1draw facility=1.62ms/30012v/1draw unit=2.67ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.94ms swap=0.04ms entities=15 projectiles=0
06:23:48.240 frame=11.41ms map=0.06ms/175458v/1draw facility=1.39ms/29316v/1draw unit=2.69ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.96ms swap=0.04ms entities=15 projectiles=0
06:23:50.347 frame=10.94ms map=0.04ms/175458v/1draw facility=1.35ms/28416v/1draw unit=2.60ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.69ms swap=0.05ms entities=15 projectiles=0
06:23:52.466 frame=11.95ms map=0.07ms/175458v/1draw facility=1.41ms/27516v/1draw unit=2.71ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=7.45ms swap=0.05ms entities=15 projectiles=0
06:23:54.570 frame=11.11ms map=0.06ms/175458v/1draw facility=1.28ms/27516v/1draw unit=2.59ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.86ms swap=0.06ms entities=15 projectiles=0
