06:31:42.941 total=28.13ms reload=0.14ms input=1.22ms motion=17.77ms filter=0.01ms rules=8.98ms select=0.01ms entities=15 projectiles=0
06:31:44.953 total=1.54ms reload=0.00ms input=0.01ms motion=0.82ms filter=0.00ms rules=0.71ms select=0.00ms entities=15 projectiles=0
06:31:47.055 total=91.91ms reload=0.00ms input=0.01ms motion=91.17ms filter=0.00ms rules=0.73ms select=0.00ms entities=15 projectiles=0
06:31:49.151 total=121.47ms reload=0.00ms input=0.01ms motion=120.75ms filter=0.00ms rules=0.71ms select=0.00ms entities=15 projectiles=0
06:31:51.250 total=182.53ms reload=0.00ms input=0.01ms motion=181.80ms filter=0.00ms rules=0.71ms select=0.00ms entities=15 projectiles=0
06:31:53.279 total=32.64ms reload=0.00ms input=0.01ms motion=31.71ms filter=0.00ms rules=0.92ms select=0.00ms entities=15 projectiles=1
06:31:55.282 total=1.50ms reload=0.00ms input=0.01ms motion=0.80ms filter=0.00ms rules=0.69ms select=0.00ms entities=15 projectiles=0
06:31:57.287 total=1.45ms reload=0.00ms input=0.01ms motion=0.73ms filter=0.00ms rules=0.71ms select=0.00ms entities=15 projectiles=0
06:31:59.351 total=62.04ms reload=0.00ms input=0.01ms motion=61.11ms filter=0.00ms rules=0.91ms select=0.01ms entities=15 projectiles=1
06:32:01.354 total=2.78ms reload=0.00ms input=0.01ms motion=0.81ms filter=0.00ms rules=1.95ms select=0.00ms entities=15 projectiles=14
06:32:03.362 total=2.09ms reload=0.00ms input=0.01ms motion=0.98ms filter=0.00ms rules=1.09ms select=0.00ms entities=15 projectiles=1
06:32:05.374 total=3.04ms reload=0.00ms input=0.01ms motion=1.24ms filter=0.00ms rules=1.79ms select=0.01ms entities=15 projectiles=8
06:32:07.395 total=2.46ms reload=0.00ms input=0.01ms motion=1.18ms filter=0.00ms rules=1.26ms select=0.01ms entities=15 projectiles=5
06:32:09.407 total=1.76ms reload=0.00ms input=0.01ms motion=0.74ms filter=0.00ms rules=1.01ms select=0.00ms entities=15 projectiles=3
06:32:11.414 total=31.84ms reload=0.00ms input=0.01ms motion=30.74ms filter=0.00ms rules=1.09ms select=0.00ms entities=15 projectiles=1
06:33:31.258 total=48.89ms reload=0.23ms input=1.49ms motion=36.30ms filter=0.01ms rules=10.84ms select=0.01ms entities=15 projectiles=0
06:33:33.266 total=2.08ms reload=0.00ms input=0.01ms motion=1.00ms filter=0.00ms rules=1.06ms select=0.01ms entities=15 projectiles=0
06:33:35.325 total=106.01ms reload=0.07ms input=0.00ms motion=104.91ms filter=0.01ms rules=1.01ms select=0.01ms entities=15 projectiles=0
06:33:37.417 total=128.71ms reload=0.11ms input=0.01ms motion=127.79ms filter=0.00ms rules=0.79ms select=0.00ms entities=15 projectiles=0
06:33:39.509 total=136.99ms reload=0.09ms input=0.01ms motion=136.29ms filter=0.00ms rules=0.59ms select=0.01ms entities=15 projectiles=0
06:33:41.550 total=98.77ms reload=0.06ms input=0.01ms motion=97.93ms filter=0.01ms rules=0.74ms select=0.01ms entities=15 projectiles=0
06:33:43.565 total=2.65ms reload=0.00ms input=0.01ms motion=1.55ms filter=0.01ms rules=1.08ms select=0.01ms entities=15 projectiles=2
06:33:45.582 total=2.69ms reload=0.00ms input=0.03ms motion=1.94ms filter=0.01ms rules=0.70ms select=0.01ms entities=15 projectiles=0
06:33:47.590 total=2.28ms reload=0.00ms input=0.01ms motion=1.62ms filter=0.01ms rules=0.64ms select=0.00ms entities=15 projectiles=0
06:33:49.604 total=4.42ms reload=0.00ms input=0.01ms motion=2.17ms filter=0.01ms rules=2.22ms select=0.01ms entities=15 projectiles=11
06:33:51.609 total=2.69ms reload=0.00ms input=0.02ms motion=1.52ms filter=0.01ms rules=1.15ms select=0.01ms entities=15 projectiles=0
06:33:53.612 total=3.33ms reload=0.00ms input=0.01ms motion=1.71ms filter=0.00ms rules=1.60ms select=0.00ms entities=15 projectiles=5
06:33:55.621 total=3.53ms reload=0.00ms input=0.01ms motion=1.80ms filter=0.01ms rules=1.71ms select=0.00ms entities=15 projectiles=6
06:33:57.646 total=2.25ms reload=0.00ms input=0.01ms motion=1.34ms filter=0.00ms rules=0.89ms select=0.00ms entities=15 projectiles=1
06:33:59.651 total=3.03ms reload=0.00ms input=0.01ms motion=2.01ms filter=0.00ms rules=1.00ms select=0.00ms entities=15 projectiles=1
06:34:01.671 total=2.66ms reload=0.00ms input=0.01ms motion=1.77ms filter=0.00ms rules=0.87ms select=0.00ms entities=15 projectiles=0
