22:18:32.970 total=10.18ms respawn=1.37ms interaction=4.42ms combat=4.26ms entities=15 projectiles=0
22:18:34.979 total=0.09ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:18:37.014 total=0.10ms respawn=0.04ms interaction=0.03ms combat=0.03ms entities=15 projectiles=0
22:18:39.030 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:18:41.033 total=0.17ms respawn=0.04ms interaction=0.02ms combat=0.11ms entities=15 projectiles=1
22:18:43.036 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:18:45.056 total=0.09ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:18:47.094 total=0.09ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:18:49.115 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:18:51.118 total=0.73ms respawn=0.04ms interaction=0.02ms combat=0.67ms entities=15 projectiles=2
22:18:53.153 total=1.13ms respawn=0.07ms interaction=0.06ms combat=1.00ms entities=15 projectiles=1
22:18:55.164 total=0.19ms respawn=0.04ms interaction=0.02ms combat=0.13ms entities=15 projectiles=1
22:18:57.175 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:18:59.217 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:19:01.231 total=0.19ms respawn=0.04ms interaction=0.02ms combat=0.13ms entities=15 projectiles=1
22:19:03.247 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:19:05.278 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:19:07.287 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:19:09.307 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.02ms entities=15 projectiles=0
22:19:51.702 total=0.12ms respawn=0.06ms interaction=0.03ms combat=0.03ms entities=15 projectiles=0
22:19:53.730 total=0.10ms respawn=0.05ms interaction=0.03ms combat=0.02ms entities=15 projectiles=0
22:20:00.804 total=0.14ms respawn=0.06ms interaction=0.06ms combat=0.01ms entities=15 projectiles=0
22:20:02.811 total=0.08ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:05.154 total=0.12ms respawn=0.07ms interaction=0.04ms combat=0.02ms entities=15 projectiles=0
22:20:07.168 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:09.182 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:11.216 total=0.15ms respawn=0.08ms interaction=0.04ms combat=0.02ms entities=15 projectiles=0
22:20:13.225 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:15.228 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:17.244 total=0.09ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:19.250 total=0.11ms respawn=0.07ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:21.272 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:23.284 total=0.10ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:25.296 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:27.305 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:29.318 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:31.319 total=0.14ms respawn=0.10ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:44.097 total=0.26ms respawn=0.23ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:46.112 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:48.114 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:50.139 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:52.147 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:54.150 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:20:56.155 total=0.09ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:20:58.159 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:21:00.160 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:21:02.168 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:21:04.186 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:21:06.204 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:21:08.217 total=0.28ms respawn=0.04ms interaction=0.02ms combat=0.22ms entities=15 projectiles=13
22:21:10.229 total=0.35ms respawn=0.04ms interaction=0.02ms combat=0.29ms entities=15 projectiles=24
22:21:12.237 total=0.46ms respawn=0.04ms interaction=0.02ms combat=0.39ms entities=15 projectiles=30
22:21:14.240 total=0.33ms respawn=0.04ms interaction=0.02ms combat=0.26ms entities=15 projectiles=24
